Country/Region,Total Population,Muslim Population,Muslim percentage of total population,Percentage of world (%)
Afghanistan,37135000,37025000,99.7,2.0
Albania,3057220,1797645,58.8,0.1
Algeria,44178884,43737096,99,2.7
American Samoa,50826,"< 1,000",< 0.1,< 0.1
Andorra,85708,2228,2.6,< 0.1
Angola,30355880,90000,0.3,< 0.1
Anguilla,17422,"< 1,000",0.6,< 0.1
Antigua and Barbuda,95882,"< 1,000",0.3,< 0.1
Argentina,44694198,400000,0.9,< 1
Armenia,3038217,1038,0.03,< 0.1
Aruba,116576,"< 1,000",0.4,< 0.1
Australia,25700000,813392,3.2,< 0.1
Austria,9000000,720000,8,< 0.1
Azerbaijan,10353296,10073758,97.3,0.5
Bahamas,332634,"< 1,000",0.1,< 0.1
Bahrain,1442659,1063239,73.7,< 0.1
Bangladesh,165200000,150800000,91.0,9.2
Barbados,293131,4396,1.5,< 0.1
Belarus,9527543,"45,000–100,000",0.5–1.0,< 0.1
Belgium,11570762,879377,7.6,< 0.1
Belize,385854,"< 1,000",0.2,< 0.1
Benin,11340504,3141319,27.7,0.14
Bermuda,71176,"< 1,000",1,< 0.1
Bhutan,766397,"≤ 2,000",0.2,< 0.1
Bolivia,11306341,2000,< 0.1,< 0.1
Bosnia and Herzegovina,3849891,1955084,50.7,0.1
Botswana,2249104,8996,0.4,< 0.1
Brazil,210000000,"35,167–1,500,000",0.02–0.7,< 0.1
British Virgin Islands,35802,"< 1,000",1.2,< 0.1
Brunei,450565,355045,80.9,< 0.1
Bulgaria,7057504,861015,13.4,< 0.1
Burkina Faso,21382659,13513840,63.8,0.6
Burundi,11844520,1184452,10,< 0.1
Cambodia,15552211,311044,2,< 0.1
Cameroon,25640965,7692289,30,0.4
Canada,36328480,1775715,4.9,0.1
Cape Verde,568373,11367,2,< 0.1
Cayman Islands,59613,"< 1,000",0.2,< 0.1
Central African Republic,5745062,861759,15,< 0.1
Chad,15833116,9183207,58,0.4
Chile,17925262,4000,< 0.1,< 0.1
China,1390000000,"6,255,000–50,000,000",0.45–3,0.4 – 2.8
Cocos (Keeling) Islands,596,"< 1,000",80,< 0.1
Colombia,48168996,96337,0.2,< 0.1
Comoros,821164,807204,98.3,< 0.1
DR Congo,85281024,12792153,10,0.1
Cook Islands,9038,"< 1,000",< 0.1,< 0.1
Costa Rica,4987142,"< 1,000",< 0.1,< 0.1
Ivory Coast,26260582,11265789,42.9,0.5
Croatia,4270480,64057,1.5,< 0.1
Cuba,11116396,11116,0.1,< 0.1
Cyprus,1100000,275000,25.3,< 0.1
Czech Republic,10686269,"10,000–20,000",0.1–0.2,< 0.1
Denmark,5809502,313713,5.4,< 0.1
Djibouti,884017,857496,97,0.1
Dominica,74027,"< 1,000",0.2,< 0.1
Dominican Republic,10298756,2000,< 0.1,< 0.1
Ecuador,16498502,"< 1,000",< 0.1,< 0.1
Egypt,95000000,"85,000,000–90,000,000",90–94.7,4.9
El Salvador,6187271,18000,0.28,< 0.1
Equatorial Guinea,797457,79745,10,< 0.1
Eritrea,6000000,"2,160,000–3,100,000",36–51.6,0.1
Estonia,1244288,1508,< 0.1,< 0.1
Eswatini,300000,6000,2,< 0.1
Ethiopia,110871031,34702632,31.3,1.8
Faroe Islands,51018,"< 1,000",< 0.1,< 0.1
Falkland Islands,3198,"< 1,000",< 0.1,< 0.1
Micronesia,103643,"< 1,000",< 0.1,< 0.1
Fiji,926276,58355,6.3,< 0.1
Finland,5537364,102000,1.8,< 0.1
France,67000000,5720000,8.8,0.3
French Guiana,281612,2400,0.9,< 0.1
French Polynesia,290373,"< 1,000",< 0.1,< 0.1
Gabon,2119036,211903,10,< 0.1
Gambia,2413403,2283080,96.4,0.1
Georgia,4926087,527091,10.7,< 0.1
Germany,83100000,"4,300,000–4,600,000",5.4–5.7,0.2
Ghana,32372889,6442205,19.9,0.2
Gibraltar,29461,1150,4,< 0.1
Greece,10761523,"215,230–313,406",2–3.7,< 0.1
